Student,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6
S1,4,4,3,3,2,4
S2,1,4,3,2,2,2
S3,2,2,3,2,2,2
S4,2,3,4,1,2,3
S5,4,4,4,2,3,3
S6,1,3,2,4,3,3
S7,4,3,4,3,3,4
S8,2,3,3,1,3,2
S9,2,3,1,4,3,2
S10,4,4,4,1,2,2
S11,2,1,2,2,3,3
S12,2,3,3,3,3,2
S13,2,2,3,2,2,3
S14,1,2,1,1,1,1
S15,2,2,3,1,2,2
S16,3,3,3,3,4,4
S17,3,3,2,2,3,2
S18,3,4,4,1,2,3
S19,2,2,1,1,3,1
S20,3,2,3,4,3,3
S21,3,3,1,3,2,2
S22,4,2,3,1,2,2
S23,4,2,2,2,4,3
S24,3,3,3,2,1,3
S25,1,1,2,2,2,2
S26,1,2,2,1,1,2
S27,3,4,3,1,2,2
S28,3,3,3,3,1,2
S29,4,2,3,3,3,3
S30,2,3,2,1,3,2
S31,3,2,2,3,2,3
S32,4,4,4,4,4,4
S33,1,1,2,2,1,2
S34,3,3,2,2,3,3
S35,4,4,4,4,4,4
S36,2,1,3,1,2,3
S37,1,1,3,2,2,3
S38,3,1,1,3,3,3
S39,4,3,4,3,3,2
S40,4,4,4,2,2,3
S41,3,2,4,3,3,3
S42,2,3,1,2,1,1
S43,2,1,3,2,2,2
S44,3,1,2,3,3,3
S45,1,3,1,3,4,3
S46,2,3,4,2,4,4
S47,1,1,1,3,1,1
S48,2,1,1,2,2,2
S49,2,2,3,3,4,2
S50,2,4,3,2,3,3
S51,4,4,4,4,3,3
S52,1,1,2,1,1,1
S53,3,3,3,3,1,2
S54,3,4,3,1,1,3
S55,1,2,1,2,2,1
S56,4,4,4,4,4,4
S57,2,2,2,3,1,1
S58,2,3,2,2,2,2
S59,3,4,3,4,3,4
S60,4,4,3,3,4,3
S61,2,3,3,4,1,2
S62,2,3,2,2,2,2
S63,3,3,2,2,1,2
S64,4,3,4,3,3,2
S65,2,2,2,3,3,2
S66,4,3,3,2,2,2
S67,4,4,4,3,3,4
S68,2,2,4,3,2,3
S69,2,3,3,3,3,3
S70,3,2,2,1,3,3
S71,2,1,2,3,2,2
S72,1,2,1,2,2,2
S73,3,3,4,4,4,3
S74,1,2,2,2,2,3
S75,3,2,3,3,2,2
S76,1,2,2,4,3,2
S77,2,3,4,1,3,4
S78,4,4,2,1,2,2
S79,2,3,1,2,3,3
S80,2,3,4,1,1,3
S81,3,3,2,3,2,3
S82,1,3,3,3,2,2
S83,3,3,2,4,3,2
S84,3,3,2,1,1,3
S85,3,4,2,2,3,3
S86,2,3,4,3,3,2
S87,2,2,3,2,2,3
S88,2,2,3,1,2,2
S89,4,4,3,3,3,3
S90,3,4,4,3,1,4
S91,1,2,2,2,1,2
S92,1,3,3,4,3,3
S93,2,2,3,2,3,3
S94,3,4,4,4,3,4
S95,2,3,3,3,3,3
S96,2,3,2,4,4,3
S97,2,3,2,2,3,2
S98,3,3,3,3,2,2
S99,3,3,4,4,3,4
S100,2,4,4,2,2,4
S101,3,3,3,3,4,4
S102,3,3,2,2,2,2
S103,1,2,3,1,2,2
S104,4,4,4,3,2,4
S105,2,2,4,3,3,3
S106,2,4,2,2,1,3
S107,2,3,3,3,1,3
S108,3,2,4,2,2,2
S109,2,2,3,4,2,2
S110,1,2,3,3,1,2
S111,1,2,3,2,3,2
S112,4,4,4,2,2,2
S113,2,2,3,2,3,4
S114,4,4,4,3,3,4
S115,3,2,2,4,3,2
S116,3,3,3,1,2,3
S117,2,3,4,3,2,2
S118,3,4,3,3,3,4
S119,1,2,3,3,2,2
S120,3,3,4,4,3,4
S121,3,3,2,2,2,2
S122,3,4,3,2,1,2
S123,1,2,1,2,1,1
S124,3,2,2,3,3,3
S125,2,1,4,2,4,2
S126,3,3,4,4,3,3
S127,2,4,4,1,3,4
S128,3,2,3,3,4,3
S129,2,2,1,2,1,2
S130,1,2,1,2,1,1
S131,3,3,4,2,1,3
S132,2,2,3,2,3,1
S133,2,3,3,4,3,2
S134,2,2,3,1,1,3
S135,3,2,2,1,1,2
S136,1,2,3,1,2,1
S137,4,4,4,4,3,3
S138,3,2,1,4,3,4
