Student,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8
S1,1,2,2,3,1,2,1,1
S2,1,2,1,2,1,1,4,2
S3,3,1,1,1,1,2,1,1
S4,2,1,3,1,2,1,1,2
S5,4,5,3,1,4,3,2,3
S6,2,1,1,3,3,3,1,2
S7,2,4,4,2,5,3,4,3
S8,2,1,2,3,2,3,1,3
S9,1,2,1,1,1,1,1,2
S10,1,1,3,1,1,2,1,2
S11,1,2,1,2,3,2,1,2
S12,1,1,1,2,3,1,2,1
S13,2,1,1,1,3,3,1,2
S14,1,1,1,1,1,1,1,1
S15,2,3,1,1,1,2,3,2
S16,1,1,1,2,1,3,1,1
S17,3,3,3,3,4,4,3,2
S18,4,5,2,1,3,4,3,3
S19,2,2,1,1,2,2,3,1
S20,2,1,2,2,2,3,1,1
S21,2,1,2,2,3,1,1,1
S22,1,2,3,2,2,2,1,1
S23,2,1,3,3,3,4,3,2
S24,3,2,3,2,3,4,1,1
S25,1,1,1,3,3,2,3,2
S26,1,2,1,1,1,2,4,1
S27,2,2,1,1,3,1,2,1
S28,1,1,3,1,1,1,1,1
S29,1,3,2,2,2,1,3,3
S30,3,2,1,1,3,1,2,2
S31,2,1,1,1,1,1,3,3
S32,3,1,3,2,1,2,2,1
S33,1,1,1,2,1,3,1,1
S34,2,1,1,1,1,2,2,1
S35,4,4,3,4,4,3,1,2
S36,2,1,2,2,3,3,3,2
S37,1,2,1,1,3,3,1,1
S38,2,1,2,2,1,1,1,1
S39,2,3,3,4,2,2,3,3
S40,1,1,1,1,1,3,2,1
S41,1,1,1,1,3,2,2,1
S42,2,1,1,1,1,1,1,1
S43,1,3,3,4,2,3,1,2
S44,1,1,1,2,1,3,2,1
S45,2,3,1,3,2,1,3,2
S46,1,3,1,1,3,3,2,3
S47,1,1,1,3,1,1,1,2
S48,2,1,3,4,1,2,2,3
S49,1,2,1,5,4,2,3,1
S50,4,2,1,2,3,3,1,3
S51,3,3,2,3,4,3,5,2
S52,1,1,1,1,1,1,2,1
S53,2,2,2,1,1,1,1,1
S54,1,4,4,1,2,2,5,3
S55,2,1,1,1,1,1,1,1
S56,4,3,2,4,2,2,4,3
S57,1,1,3,1,1,2,1,1
S58,1,1,1,1,1,1,1,1
S59,2,1,1,2,1,1,2,2
S60,1,3,2,3,2,1,1,3
S61,1,2,1,1,3,1,1,1
S62,2,1,2,1,1,2,1,1
S63,2,1,2,3,1,1,1,2
S64,2,1,2,4,3,1,3,1
S65,1,1,2,1,1,1,1,2
S66,3,3,1,3,2,1,2,4
S67,4,4,3,2,5,4,3,4
S68,1,2,2,3,3,2,3,3
S69,1,3,1,2,3,3,1,1
S70,3,1,5,2,3,3,3,3
S71,1,1,1,4,2,2,1,2
S72,1,1,1,2,1,1,1,1
S73,2,3,4,2,2,2,1,2
S74,1,1,1,2,3,2,1,1
S75,1,1,1,1,1,2,1,1
S76,1,1,1,2,1,2,1,2
S77,1,2,2,1,2,3,3,1
S78,4,3,3,1,1,2,1,2
S79,2,1,1,1,2,1,1,1
S80,3,2,4,1,2,4,1,1
S81,3,1,3,1,1,1,3,2
S82,1,3,2,1,1,3,2,2
S83,2,3,1,4,4,3,3,3
S84,1,2,2,1,1,1,1,1
S85,1,2,1,2,1,1,3,1
S86,1,5,2,2,1,2,1,2
S87,1,3,1,1,2,2,4,1
S88,2,1,2,2,2,1,1,1
S89,3,3,5,3,4,4,5,4
S90,3,2,4,2,3,3,1,4
S91,2,2,1,2,1,2,1,3
S92,1,2,3,3,4,1,3,3
S93,2,1,2,1,1,1,2,2
S94,3,5,5,3,3,4,2,3
S95,1,1,1,2,1,1,4,1
S96,1,2,1,5,1,1,1,1
S97,2,2,1,1,3,3,3,2
S98,2,1,3,3,1,1,1,1
S99,2,3,1,1,4,2,1,3
S100,1,2,1,2,4,2,1,3
S101,1,3,3,3,4,3,3,4
S102,4,3,4,2,2,2,4,1
S103,1,1,1,1,2,1,1,1
S104,3,4,2,1,2,4,1,2
S105,2,3,2,2,2,3,1,3
S106,2,3,3,1,1,4,1,1
S107,2,2,2,2,1,1,1,2
S108,1,2,3,2,2,3,1,3
S109,2,2,3,3,3,3,2,2
S110,1,3,1,3,1,4,1,1
S111,1,1,1,2,1,1,1,1
S112,1,4,4,2,1,2,2,1
S113,2,4,1,2,2,3,2,2
S114,4,3,1,2,3,3,2,1
S115,2,2,1,4,2,2,2,3
S116,4,3,2,1,2,3,3,1
S117,5,3,1,3,1,3,1,2
S118,1,1,1,2,1,3,1,1
S119,1,4,2,5,1,2,3,2
S120,3,3,1,2,2,2,1,1
S121,3,2,1,2,2,3,1,2
S122,2,2,1,2,1,2,2,2
S123,1,1,1,2,1,1,1,1
S124,1,3,1,2,2,1,1,1
S125,1,1,1,1,2,2,1,1
S126,2,2,3,1,4,1,3,1
S127,2,1,2,1,2,1,2,4
S128,2,3,3,4,3,1,4,1
S129,2,1,1,2,1,1,1,1
S130,2,2,1,3,1,1,1,1
S131,1,1,1,2,1,2,1,1
S132,2,2,1,4,2,1,1,3
S133,1,1,2,1,3,2,2,1
S134,2,2,2,1,1,2,1,1
S135,2,1,1,1,2,2,1,1
S136,1,1,1,1,1,1,1,1
S137,5,4,4,4,4,4,5,4
S138,2,1,1,5,1,2,1,4
S139,5,3,4,2,5,2,4,3
S140,3,2,2,2,2,3,2,1
S141,3,3,4,1,1,1,3,3
S142,3,3,2,2,1,1,2,1
S143,1,1,1,2,2,1,2,3
S144,4,1,4,3,2,2,3,2
S145,1,2,1,1,3,1,3,1
S146,1,1,2,2,3,1,2,1
S147,2,2,1,1,1,1,1,2
S148,1,1,2,4,1,2,1,1
S149,3,3,2,1,1,2,1,3
S150,3,4,2,5,5,4,3,1
S151,1,1,1,1,1,1,1,1
S152,1,2,3,3,1,3,2,1
S153,3,3,4,1,3,3,2,2
S154,2,4,4,1,1,4,1,2
S155,1,1,2,3,2,1,1,1
S156,1,2,1,1,1,1,1,1
S157,1,1,2,1,1,1,1,1
S158,1,3,1,5,3,1,5,1
S159,2,2,1,1,1,1,1,3
S160,1,1,1,1,2,1,1,1
S161,1,1,1,2,1,2,1,1
S162,2,1,1,3,1,1,1,1
S163,2,1,1,2,1,1,1,1
S164,5,1,2,2,2,3,3,2
S165,3,2,3,2,3,2,1,2
S166,2,1,2,2,3,3,2,3
S167,1,2,4,4,3,3,2,3
S168,1,1,1,3,4,2,1,2
S169,1,3,1,1,2,1,1,1
S170,3,4,2,1,1,4,1,5
S171,2,1,3,3,3,2,1,2
S172,1,3,3,3,4,4,2,4
S173,1,1,1,1,2,1,2,3
S174,3,2,2,1,2,3,3,2
S175,1,1,1,2,1,2,3,1
S176,2,2,1,1,3,5,5,3
S177,3,2,3,2,3,3,2,2
S178,1,2,2,1,2,1,1,1
S179,2,1,1,1,2,2,2,2
S180,1,1,2,1,1,1,1,1
S181,1,2,2,1,3,2,3,5
S182,1,2,1,1,1,1,1,1
S183,1,3,3,1,1,1,3,1
S184,1,1,1,1,2,4,2,2
S185,2,3,3,3,3,2,3,3
S186,1,1,1,2,1,1,1,1
S187,2,2,2,1,1,2,3,3
S188,1,1,1,1,3,1,1,2
S189,3,3,4,5,2,3,3,3
S190,1,1,1,1,1,1,1,2
S191,3,2,3,4,3,1,2,4
S192,2,2,1,1,1,1,3,1
S193,1,3,1,4,2,2,2,1
S194,2,2,2,2,3,2,3,1
S195,1,3,4,1,4,4,1,4
S196,3,4,3,1,4,2,1,3
S197,2,2,3,3,2,3,2,2
S198,3,4,2,3,2,3,2,2
S199,1,1,1,2,2,1,2,2
S200,1,1,1,2,1,1,2,1
S201,2,4,1,2,3,2,3,2
S202,4,3,4,2,2,1,1,1
S203,3,3,4,3,5,3,3,3
S204,1,1,1,2,1,1,1,2
S205,1,1,3,1,2,4,2,1
S206,2,1,2,1,2,2,3,2
S207,1,1,1,1,2,3,2,4
S208,1,1,3,3,2,1,1,1
S209,3,1,2,2,3,3,3,1
S210,1,1,1,1,1,1,1,1
S211,1,1,4,1,1,2,3,3
S212,2,4,1,3,3,1,4,1
S213,1,2,1,2,3,2,1,3
S214,1,1,1,1,2,2,1,1
S215,3,1,1,4,3,1,3,1
S216,1,1,1,1,1,1,1,2
S217,1,2,1,2,1,1,2,1
S218,3,4,2,1,1,1,1,1
S219,1,1,1,1,2,1,1,1
S220,1,3,4,3,1,3,1,2
S221,1,2,2,3,1,2,1,3
S222,3,3,3,3,1,4,2,2
S223,2,1,4,2,2,1,3,4
S224,4,3,3,5,3,1,4,4
S225,2,1,2,1,1,1,2,1
S226,1,1,1,2,1,1,2,1
S227,2,1,1,1,1,1,1,1
S228,1,1,1,1,1,1,2,2
S229,1,1,1,1,2,1,1,2
S230,3,1,3,1,3,2,5,2
S231,1,3,3,1,1,1,1,2
S232,2,3,3,5,3,1,3,1
S233,2,1,1,1,2,1,1,2
S234,1,1,1,3,2,2,3,2
S235,2,4,4,1,2,1,1,1
S236,4,3,2,2,3,4,2,2
S237,1,4,2,3,3,3,5,3
S238,3,2,3,2,3,1,1,3
S239,3,2,2,1,2,1,1,1
S240,2,2,2,1,3,1,2,1
S241,2,1,1,1,2,1,3,1
S242,2,2,1,1,2,2,1,1
S243,1,1,1,1,2,1,1,1
S244,1,1,1,1,1,3,1,1
S245,4,3,3,2,3,2,4,5
S246,2,2,3,1,1,1,1,1
S247,1,1,1,1,1,2,1,1
S248,2,2,2,4,1,3,1,2
S249,1,1,1,2,1,1,1,1
S250,2,2,1,1,3,1,2,1
S251,3,1,2,4,2,2,2,1
S252,2,1,1,1,1,1,3,1
S253,1,1,1,1,2,1,2,2
S254,1,3,1,2,1,2,2,1
S255,2,2,1,3,2,5,1,3
S256,1,2,2,3,1,2,1,1
S257,1,1,1,2,2,1,1,2
S258,3,4,1,2,2,2,3,2
S259,2,1,1,1,1,1,2,1
S260,2,3,5,3,3,4,5,4
S261,4,1,1,1,3,2,2,1
S262,3,1,3,1,1,2,5,5
S263,2,3,3,1,3,3,1,2
S264,3,2,3,4,2,3,3,3
S265,2,2,1,4,2,3,3,1
S266,3,3,4,2,4,3,3,1
S267,1,1,1,1,3,3,1,2
S268,4,4,2,2,1,3,1,1
S269,4,1,2,2,1,3,4,1
S270,1,1,1,2,2,3,1,1
S271,2,2,2,1,1,2,4,2
S272,1,1,1,1,1,1,1,1
S273,2,2,2,1,1,1,3,3
S274,3,1,3,4,1,1,3,2
S275,2,3,4,4,2,4,2,2
S276,2,1,3,1,2,1,1,1
S277,2,1,1,1,3,1,2,1
S278,1,3,2,2,2,2,1,1
S279,4,1,3,2,1,1,1,2
S280,3,4,2,1,3,2,3,4
S281,2,1,2,1,3,1,2,1
S282,3,1,1,2,1,1,2,1
S283,2,1,2,1,3,1,1,1
S284,2,1,2,2,1,1,1,1
S285,1,3,4,1,1,4,1,1
S286,1,1,1,5,2,1,3,2
S287,2,4,2,2,1,3,1,2
S288,1,2,1,1,1,1,1,1
S289,1,1,1,1,1,1,1,1
S290,1,1,4,2,1,3,1,2
S291,2,4,3,1,2,1,2,1
S292,1,1,1,1,1,1,3,1
S293,1,4,4,1,2,3,1,2
S294,1,1,1,1,3,1,1,1
S295,1,2,2,1,2,1,1,1
S296,1,3,2,1,1,2,1,1
S297,4,3,2,5,3,4,4,3
S298,2,4,2,2,4,3,3,2
S299,3,3,3,4,3,3,5,3
S300,3,1,1,1,1,1,1,1
S301,1,1,1,1,2,1,2,1
S302,1,3,2,3,1,1,3,1
S303,1,1,1,1,1,1,1,2
S304,3,1,2,2,3,2,2,3
S305,4,4,3,4,5,2,4,4
S306,2,3,3,2,3,4,4,1
S307,3,2,3,3,2,1,3,3
S308,3,5,3,4,4,2,3,1
S309,2,1,2,3,1,1,2,2
S310,3,1,1,2,1,1,2,2
S311,1,4,3,2,2,3,2,2
S312,2,3,1,2,3,1,3,2
S313,1,4,2,3,4,3,3,4
S314,1,1,2,1,1,2,1,1
S315,3,3,3,2,2,3,2,2
S316,1,1,1,1,1,2,1,1
S317,1,1,2,1,3,1,2,3
S318,1,1,2,1,1,1,1,4
S319,1,2,1,1,1,1,1,1
S320,4,4,3,2,3,2,2,4
S321,2,1,1,1,1,2,1,2
S322,4,2,1,1,4,4,5,2
S323,1,3,1,3,1,2,1,1
S324,1,2,1,2,2,1,1,1
S325,2,2,2,1,1,1,1,2
S326,1,1,1,1,1,1,1,1
S327,1,1,1,2,2,1,1,1
S328,1,3,2,2,2,1,2,2
S329,1,3,2,2,4,3,1,3
S330,1,2,1,2,1,1,1,3
S331,2,1,2,1,2,1,1,2
S332,1,2,1,1,1,1,1,1
S333,4,3,2,5,4,5,2,3
S334,3,4,2,2,1,2,4,2
S335,2,1,1,2,2,3,1,2
S336,2,2,1,3,1,3,2,1
S337,3,3,2,3,2,2,2,1
S338,3,2,1,3,1,2,1,4
S339,1,1,1,2,2,2,3,2
S340,1,1,2,4,2,4,4,2
S341,1,3,1,1,1,1,1,1
S342,1,2,1,1,1,1,2,1
S343,1,2,4,2,2,2,3,2
S344,1,2,3,1,1,3,1,1
S345,3,4,4,2,2,1,3,2
S346,1,1,1,1,1,1,1,1
S347,1,3,2,2,1,3,1,1
S348,3,1,1,2,1,1,2,1
S349,1,1,2,3,1,1,1,1
S350,3,3,1,5,3,3,3,5
S351,3,4,4,5,3,4,4,3
S352,1,3,1,1,1,3,1,2
S353,2,1,3,1,2,2,3,2
S354,1,1,2,1,1,1,1,1
S355,2,3,2,1,2,2,2,2
S356,1,3,1,1,1,1,1,3
S357,1,2,1,4,2,3,1,2
S358,1,1,1,1,1,1,2,1
S359,2,1,1,1,1,1,2,1
S360,2,1,1,2,1,1,1,1
S361,4,1,2,2,3,2,2,3
S362,1,1,2,2,2,2,1,1
S363,3,1,2,1,2,4,2,2
S364,3,1,1,1,1,1,1,1
S365,4,5,5,4,4,3,4,3
S366,2,1,2,1,3,3,2,3
S367,3,1,2,1,2,1,1,2
S368,1,1,1,2,1,1,1,1
S369,1,1,1,1,2,1,1,1
S370,3,3,3,5,1,3,2,3
S371,1,3,3,2,2,2,3,3
S372,1,1,2,3,1,1,1,2
S373,1,3,1,1,3,1,1,2
S374,1,3,2,1,1,2,1,1
S375,3,1,1,1,1,1,2,2
S376,3,2,1,1,4,1,1,3
S377,1,1,2,1,1,1,1,1
S378,1,2,3,1,2,2,2,1
S379,2,3,4,4,2,1,4,2
S380,1,1,2,2,2,1,1,1
S381,1,4,2,3,4,4,4,2
S382,1,3,2,1,1,1,2,2
S383,1,1,1,1,1,1,1,1
S384,1,1,1,5,2,2,4,3
S385,4,1,1,3,1,2,1,1
S386,5,5,3,4,4,2,2,3
S387,2,3,1,1,1,1,1,2
S388,3,4,4,2,3,2,3,2
S389,1,1,1,1,4,1,1,1
S390,1,1,3,1,1,1,2,1
S391,1,1,1,3,3,1,3,1
S392,2,3,2,1,4,3,2,1
S393,3,1,1,3,1,2,1,1
S394,1,1,1,1,1,3,3,1
S395,1,2,1,1,3,1,2,1
S396,1,1,1,1,1,1,1,1
S397,1,1,1,1,1,1,1,1
S398,3,3,1,1,1,1,1,1
S399,1,2,1,2,1,1,2,2
S400,2,2,1,1,2,1,1,1
S401,1,1,1,3,1,3,3,2
S402,1,3,3,1,2,1,1,4
S403,2,1,1,1,2,1,1,1
S404,4,4,3,2,2,2,3,4
S405,1,2,1,2,1,3,1,1
S406,2,4,1,1,3,2,2,1
S407,2,3,2,1,1,1,2,1
S408,1,3,2,2,1,1,1,1
S409,1,1,1,3,1,1,1,1
S410,3,1,3,2,4,1,3,3
S411,5,3,3,2,2,3,3,4
S412,2,1,1,3,1,1,1,1
S413,2,1,2,4,2,2,2,1
S414,1,1,1,2,4,1,1,3
S415,1,1,1,1,2,1,1,1
S416,1,1,1,1,1,1,2,1
S417,2,3,2,4,2,3,5,3
S418,1,1,2,2,3,1,2,2
S419,3,2,3,1,3,4,2,1
S420,1,1,2,1,1,1,1,2
S421,1,3,1,4,2,2,1,1
S422,3,3,3,3,2,3,4,3
S423,1,1,1,1,1,1,1,1
S424,2,1,1,1,1,1,2,1
S425,2,3,3,1,1,4,4,2
S426,2,2,1,1,2,1,1,1
S427,1,1,1,2,1,1,1,2
S428,1,1,1,1,1,1,2,1
S429,2,2,2,4,4,2,4,3
S430,3,2,3,3,2,4,3,3
S431,3,3,1,2,3,4,2,2
S432,1,1,1,1,1,1,1,1
S433,1,1,1,1,1,2,2,1
S434,2,2,2,1,2,2,2,2
S435,1,1,3,1,2,1,1,1
S436,2,3,1,3,1,2,1,1
S437,1,2,2,1,1,1,3,1
S438,1,3,3,3,2,1,4,1
S439,2,1,2,2,1,1,1,1
S440,5,4,4,2,2,1,2,3
S441,1,1,1,3,1,1,1,1
S442,1,1,1,1,1,1,2,3
S443,3,4,2,2,1,2,3,1
S444,2,1,1,1,2,1,1,1
S445,2,1,3,1,3,2,1,3
S446,1,3,3,3,2,2,1,2
S447,2,5,1,4,1,3,3,4
S448,2,1,1,2,1,2,2,1
S449,1,3,1,2,3,1,3,3
S450,2,3,2,2,1,1,3,1
S451,1,1,1,3,2,1,2,1
S452,1,1,1,1,1,1,3,1
S453,2,1,2,2,2,1,1,1
S454,1,2,2,1,4,3,2,1
S455,2,3,1,1,3,4,1,4
S456,2,1,3,1,4,2,1,2
S457,3,2,3,3,3,2,2,1
S458,4,2,1,1,1,1,1,2
S459,1,1,1,1,2,1,1,1
S460,1,1,1,1,1,1,3,1
S461,1,1,1,1,2,1,2,2
S462,3,1,1,1,1,2,2,1
S463,2,1,3,4,1,1,1,2
S464,2,2,1,2,2,2,1,2
S465,2,3,3,2,2,2,1,1
S466,2,1,1,2,1,1,1,1
S467,1,2,1,3,2,1,2,3
S468,3,2,3,2,4,1,1,3
S469,3,2,5,4,4,4,3,2
S470,2,2,1,1,1,3,1,1
S471,2,2,2,3,1,5,1,3
S472,1,1,1,1,1,1,2,1
S473,3,2,3,1,1,1,1,1
S474,1,1,2,1,1,2,1,1
S475,1,1,1,1,1,3,1,2
S476,3,3,3,4,2,1,3,4
S477,1,1,1,2,1,1,1,1
S478,1,1,3,1,2,1,1,1
S479,1,1,1,3,1,2,1,3
S480,2,1,1,3,3,1,1,1
S481,1,1,1,1,1,1,1,1
S482,1,1,1,2,3,1,1,1
S483,1,2,4,2,2,1,2,3
S484,2,5,2,2,1,1,5,2
S485,1,3,2,2,1,1,1,1
S486,1,3,2,1,2,2,1,1
S487,4,3,2,2,1,2,2,3
S488,3,3,2,4,4,1,2,4
S489,1,1,2,1,1,1,1,1
S490,4,4,2,2,2,3,4,3
S491,1,2,1,1,1,1,1,3
S492,1,1,1,1,1,1,1,1
S493,1,2,4,2,2,3,3,1
S494,2,1,1,1,1,1,1,2
S495,2,1,3,3,3,4,3,4
S496,1,1,1,1,2,1,1,1
S497,1,1,2,1,1,1,1,1
S498,2,3,2,2,3,3,2,1
S499,4,4,4,1,2,2,2,2
